Rank,Item ID,Product ID,Title,Super Department,Department,Category,Sub category,Brand,AUR,Average Customer Rating,Total Offers,Existing for seller,Is published?,UPC,Is Two Day eligible for seller,isTwoDayEligible,
21,881210303,6PL0ZW2BQS6F,"Kent 29"" Flexor Men's Dual Suspension Mountain Bike, Blue",07 TOYS,BIKES,BIKES ADULT,MOUNTAIN BIKES,Kent,157.51304,3.6,0,FALSE,FALSE,16751729527,FALSE,FALSE,
33,872977695,1A70GOQHZFDG,"Hyper Bicycles 24"" Boys Havoc MTB, Kids, Black",07 TOYS,BIKES,BIKES ADULT,MULTI USE BIKES,Hyper Bicycles,127.91573,3.9,0,FALSE,FALSE,6.90996E+11,FALSE,FALSE,
36,567158280,29YDPWVZPLGW,"Mongoose Excursion Mountain Bike, 24-inch wheel, 21 speeds, black / yellow",07 TOYS,BIKES,BIKES ADULT,MOUNTAIN BIKES,Mongoose,176.4707,3.6,0,FALSE,FALSE,38675177529,FALSE,FALSE,
54,323891468,4GRYCJAFN90N,"Electric Bike,Vecukty Electric Bicycle 250W Electric Bikes for Adults Teens E Bike with Pedals, 20"" Waterproof Folding Mini Bikes with Dual Disc Brakes, 36V 8Ah Lithium-Ion Battery,3-Year Warranty",07 TOYS,BIKES,BIKES ADULT,ELECTRIC BIKES,Vecukty,614.365,4.8,0,FALSE,FALSE,6.8709E+11,FALSE,FALSE,
63,370551534,1DW7DIKP9S7F,Swagtron EB7 Plus Folding Electric Bike with Removable Battery &amp; 7-Speed Shimano | Pedal-Assist eBike with Suspension & 16-Inch Tires | 350W Motor - Extended 19-Mile Range,07 TOYS,BIKES,BIKES ADULT,ELECTRIC BIKES,Swagtron,824.44883,4.8,0,FALSE,FALSE,8.10012E+11,FALSE,FALSE,
115,747392137,7578BWERWYH3,"POLESITTER Adults Electric Mountain Bike, Matte Khaki Green Color, 750w Brushless Motor, Shimano 7-Speed Shifter, Digital LCD Dash, LED Headlight, Portable Lithium Battery, Heavy Duty Ebike",07 TOYS,BIKES,BIKE ACCESSORIES,BIKE REPAIR AND COMPONENTS,POLESITTER,999,,0,FALSE,FALSE,7.50467E+11,FALSE,FALSE,
129,720324244,19HWAYH2VO3N,"Sandinrayli 26"" Front Wheel 48V 1000W Electric Powered Bicycle Motor Cycling Conversion Kit",07 TOYS,BIKES,BIKE ACCESSORIES,BIKE REPAIR AND COMPONENTS,Sandinrayli,213.46586,3.3,0,FALSE,FALSE,6.13853E+11,FALSE,FALSE,
130,901011960,17MI45HIIX3P,"Sandinrayli 26"" Rear Wheel 48V 1000W Electric Powered Bicycle Motor Cycling Conversion Kit",07 TOYS,BIKES,BIKE ACCESSORIES,BIKE REPAIR AND COMPONENTS,Sandinrayli,207.71413,3,0,FALSE,FALSE,7.08258E+11,FALSE,FALSE,
174,628137711,1BSS2UNRJQSG,"BTWIN by DECATHLON - Btwin 26"" Inner Tube, 2-Pack",07 TOYS,BIKES,BIKE ACCESSORIES,BIKE TUBES,Decathlon,4.17073,4.4,0,FALSE,FALSE,,FALSE,FALSE,
22,726042601,3SHK39FNVD89,Star Wars The Vintage Collection Tusken Raider Lucasfilm First 50 Years Collectible Figure,07 TOYS,BOY ACTIVITY,TOY ACTION FIGURES,ACTION FIGURES,Star Wars,13.29647,,0,FALSE,FALSE,,FALSE,FALSE,
